"pass_num","customer_num","zip_code","purchase_year","purchase_month","purchase_day","pass_level"
243584096,1025023,54565,2021,"JAN",1,"Gold"
323566448,1276878,59016,2021,"JAN",1,"Bronze"
248285287,1324335,82015,2021,"JAN",1,"Bronze"
341167726,1699003,19713,2021,"JAN",1,"Bronze"
232133162,2002444,93036,2021,"JAN",1,"Silver"
102559927,2330131,14614,2021,"JAN",1,"Bronze"
324846397,2353440,14893,2021,"JAN",1,"Bronze"
170612037,2452870,85859,2021,"JAN",1,"Bronze"
185097654,2634584,99038,2021,"JAN",1,"Gold"
290242085,3039920,80663,2021,"JAN",1,"Bronze"
345604928,3068192,74457,2021,"JAN",1,"Silver"
249799795,3724211,49714,2021,"JAN",1,"Bronze"
127511795,3819988,45380,2021,"JAN",1,"Bronze"
111318905,3868461,42790,2021,"JAN",1,"Gold"
213039990,1127218,88340,2021,"JAN",2,"Gold"
156977550,1431680,22613,2021,"JAN",2,"Silver"
299451654,1598703,83595,2021,"JAN",2,"Bronze"
319483165,1931917,81518,2021,"JAN",2,"Silver"
233600003,1996461,88747,2021,"JAN",2,"Bronze"
322570331,2110822,86506,2021,"JAN",2,"Gold"
104600806,2282981,65911,2021,"JAN",2,"Gold"
232483556,2420120,99819,2021,"JAN",2,"Gold"
293184731,2438459,88892,2021,"JAN",2,"Bronze"
118111629,2480622,68361,2021,"JAN",2,"Gold"
121390316,2683115,94531,2021,"JAN",2,"Silver"
349527911,2915815,85471,2021,"JAN",2,"Bronze"
276412242,3144217,30326,2021,"JAN",2,"Gold"
309621844,3241162,90027,2021,"JAN",2,"Bronze"
214345267,3330469,27415,2021,"JAN",2,"Gold"
246371237,3625696,94011,2021,"JAN",2,"Silver"
121055375,3866947,66418,2021,"JAN",2,"Silver"
155106535,3917214,51694,2021,"JAN",2,"Bronze"
190916873,1068308,91392,2021,"JAN",3,"Gold"
225471383,1446810,78269,2021,"JAN",3,"Gold"
272916675,1740440,78897,2021,"JAN",3,"Bronze"
140693177,2040964,62903,2021,"JAN",3,"Gold"
196054095,2045159,89215,2021,"JAN",3,"Gold"
299858594,2213877,57797,2021,"JAN",3,"Bronze"
135478174,2577979,95321,2021,"JAN",3,"Gold"
318601264,2599462,50622,2021,"JAN",3,"Bronze"
262900500,2631790,28405,2021,"JAN",3,"Gold"
184884510,2680744,82499,2021,"JAN",3,"Bronze"
161961829,2769078,67958,2021,"JAN",3,"Bronze"
271330992,2907679,22978,2021,"JAN",3,"Bronze"
206661443,3094363,52256,2021,"JAN",3,"Silver"
208008358,3320067,66617,2021,"JAN",3,"Gold"
102655450,3738955,79035,2021,"JAN",3,"Bronze"
250075582,3947409,35456,2021,"JAN",3,"Silver"
110976558,1368757,26833,2021,"JAN",4,"Bronze"
106934769,1506493,65283,2021,"JAN",4,"Bronze"
235418931,1664333,98740,2021,"JAN",4,"Bronze"
237610499,1702751,56052,2021,"JAN",4,"Silver"
314624098,2107911,25391,2021,"JAN",4,"Silver"
177546891,2127913,96182,2021,"JAN",4,"Bronze"
134841388,2154557,74134,2021,"JAN",4,"Silver"
233393886,2188081,50687,2021,"JAN",4,"Silver"
117302070,2300150,47001,2021,"JAN",4,"Silver"
110567568,2362366,82454,2021,"JAN",4,"Gold"
307249937,2940298,62372,2021,"JAN",4,"Silver"
147352371,3134580,47122,2021,"JAN",4,"Gold"
213030089,1075538,91151,2021,"JAN",5,"Silver"
275329553,1384642,35643,2021,"JAN",5,"Silver"
116496075,1760192,55443,2021,"JAN",5,"Bronze"
332975300,1798547,69200,2021,"JAN",5,"Silver"
286661530,1883363,26184,2021,"JAN",5,"Gold"
123152573,1905974,71705,2021,"JAN",5,"Bronze"
116127840,2063546,99665,2021,"JAN",5,"Bronze"
118992531,2066790,97541,2021,"JAN",5,"Bronze"
241962107,2520921,50234,2021,"JAN",5,"Silver"
231556760,2674342,39838,2021,"JAN",5,"Gold"
327798152,2748890,28652,2021,"JAN",5,"Gold"
105170070,2789012,70685,2021,"JAN",5,"Silver"
140349359,2838071,50732,2021,"JAN",5,"Silver"
335679039,3358683,31387,2021,"JAN",5,"Silver"
320745206,3766084,69839,2021,"JAN",5,"Silver"
256886734,1277910,82629,2021,"JAN",6,"Silver"
310883147,1314647,61897,2021,"JAN",6,"Gold"
273143622,1962972,31063,2021,"JAN",6,"Gold"
346154439,2109110,36733,2021,"JAN",6,"Silver"
283943045,2784548,28890,2021,"JAN",6,"Bronze"
218057345,2818277,42872,2021,"JAN",6,"Silver"
167825447,2918474,52818,2021,"JAN",6,"Gold"
247152456,2924024,73418,2021,"JAN",6,"Gold"
133861839,3027617,49910,2021,"JAN",6,"Bronze"
291969149,3163952,44278,2021,"JAN",6,"Gold"
207776694,3676415,56540,2021,"JAN",6,"Gold"
124371163,1054702,25418,2021,"JAN",7,"Gold"
227252477,1159991,82395,2021,"JAN",7,"Gold"
186474302,1393853,60710,2021,"JAN",7,"Bronze"
253877563,2223414,11479,2021,"JAN",7,"Bronze"
132383473,2284902,23706,2021,"JAN",7,"Bronze"
327801575,2687845,54394,2021,"JAN",7,"Gold"
177159729,2976682,17342,2021,"JAN",7,"Bronze"
194787340,3137564,57259,2021,"JAN",7,"Gold"
262785073,3352639,89643,2021,"JAN",7,"Gold"
281405073,3518198,94578,2021,"JAN",7,"Silver"
217779651,3699150,43612,2021,"JAN",7,"Bronze"
230868011,3923237,69854,2021,"JAN",7,"Silver"
275971675,1091871,43113,2021,"JAN",8,"Bronze"
119949528,1238656,97908,2021,"JAN",8,"Bronze"
116980539,1355887,20050,2021,"JAN",8,"Silver"
122706712,1375750,26387,2021,"JAN",8,"Bronze"
211800138,1469926,40017,2021,"JAN",8,"Bronze"
203470977,1665876,86583,2021,"JAN",8,"Gold"
122750136,1970933,98492,2021,"JAN",8,"Silver"
310211555,2005065,52053,2021,"JAN",8,"Bronze"
108421270,2077498,17312,2021,"JAN",8,"Bronze"
241341974,2270625,97038,2021,"JAN",8,"Bronze"
128554704,2933577,98975,2021,"JAN",8,"Bronze"
160239663,3175475,48659,2021,"JAN",8,"Silver"
192855126,3538853,71723,2021,"JAN",8,"Bronze"
306229877,3602718,86267,2021,"JAN",8,"Bronze"
157625009,3669941,90403,2021,"JAN",8,"Gold"
304024548,3783514,92219,2021,"JAN",8,"Gold"
211782371,3887230,56860,2021,"JAN",8,"Gold"
278595859,3901074,16017,2021,"JAN",8,"Gold"
231437431,3905228,75011,2021,"JAN",8,"Gold"
191003596,1131895,39038,2021,"JAN",9,"Gold"
179319299,1455738,54539,2021,"JAN",9,"Silver"
108717444,1487494,80011,2021,"JAN",9,"Bronze"
266632222,1759812,20512,2021,"JAN",9,"Silver"
103155741,1983079,60805,2021,"JAN",9,"Silver"
118409998,1986683,95703,2021,"JAN",9,"Silver"
309628215,2437833,47316,2021,"JAN",9,"Silver"
162835895,2566702,28298,2021,"JAN",9,"Gold"
105979707,2689945,37545,2021,"JAN",9,"Gold"
160668444,2797646,23773,2021,"JAN",9,"Silver"
248702074,2835157,78767,2021,"JAN",9,"Gold"
138921808,2900325,60156,2021,"JAN",9,"Silver"
185539560,3294887,94134,2021,"JAN",9,"Silver"
270693083,3357834,51496,2021,"JAN",9,"Bronze"
139068597,3956461,10468,2021,"JAN",9,"Silver"
281780616,3994043,51606,2021,"JAN",9,"Gold"
211790010,1123883,66765,2021,"JAN",10,"Silver"
329943854,1235603,77845,2021,"JAN",10,"Bronze"
216953490,1440030,41998,2021,"JAN",10,"Silver"
241656726,1571711,79217,2021,"JAN",10,"Bronze"
341130487,1818239,27043,2021,"JAN",10,"Bronze"
226163778,1836081,65300,2021,"JAN",10,"Bronze"
335538799,1862220,28193,2021,"JAN",10,"Gold"
337386345,2488188,51729,2021,"JAN",10,"Gold"
285210718,2679809,27306,2021,"JAN",10,"Bronze"
228096209,2964576,68261,2021,"JAN",10,"Gold"
182305948,3961504,32042,2021,"JAN",10,"Gold"
191896824,1033372,85136,2021,"JAN",11,"Silver"
107388636,1312014,86484,2021,"JAN",11,"Silver"
142779060,1402277,77319,2021,"JAN",11,"Bronze"
229075810,1442187,16199,2021,"JAN",11,"Silver"
189301727,1949062,63495,2021,"JAN",11,"Gold"
198765852,2264749,48694,2021,"JAN",11,"Silver"
102959633,2402029,51910,2021,"JAN",11,"Gold"
135339543,2868830,66815,2021,"JAN",11,"Silver"
205110810,3196971,65454,2021,"JAN",11,"Gold"
251255759,3372677,46041,2021,"JAN",11,"Bronze"
140051456,3441603,94163,2021,"JAN",11,"Bronze"
234657268,3475458,92869,2021,"JAN",11,"Bronze"
