"pass_num","visit_year","visit_month","visit_day","park_name"
111318905,2021,"JAN",2,"Colossal Studios"
341167726,2021,"JAN",3,"Colossal Zoo"
208008358,2021,"JAN",3,"Colossal Kingdom"
127511795,2021,"JAN",5,"Colossal Zoo"
241962107,2021,"JAN",6,"Colossal Zoo"
232133162,2021,"JAN",6,"Colossal Studios"
225471383,2021,"JAN",7,"Colossal Studios"
241962107,2021,"JAN",8,"Colossal Studios"
253877563,2021,"JAN",11,"Colossal Zoo"
161223328,2021,"JAN",12,"Colossal Studios"
273143622,2021,"JAN",13,"Colossal Zoo"
162835895,2021,"JAN",14,"Colossal Kingdom"
206065187,2021,"JAN",14,"Colossal Zoo"
134841388,2021,"JAN",14,"Colossal Kingdom"
185539560,2021,"JAN",14,"Colossal Kingdom"
155106535,2021,"JAN",15,"Colossal Kingdom"
253877563,2021,"JAN",15,"Colossal Zoo"
221969561,2021,"JAN",16,"Colossal Zoo"
337386345,2021,"JAN",16,"Colossal Kingdom"
156977550,2021,"JAN",16,"Colossal Studios"
273143622,2021,"JAN",17,"Colossal Studios"
127511795,2021,"JAN",17,"Colossal Kingdom"
341130487,2021,"JAN",18,"Colossal Zoo"
196054095,2021,"JAN",18,"Colossal Kingdom"
332818207,2021,"JAN",18,"Colossal Kingdom"
232133162,2021,"JAN",18,"Colossal Studios"
142779060,2021,"JAN",18,"Colossal Zoo"
329998624,2021,"JAN",19,"Colossal Zoo"
153591490,2021,"JAN",19,"Colossal Studios"
262785073,2021,"JAN",20,"Colossal Studios"
135478174,2021,"JAN",20,"Colossal Zoo"
127866552,2021,"JAN",21,"Colossal Zoo"
278595859,2021,"JAN",21,"Colossal Studios"
122706712,2021,"JAN",22,"Colossal Studios"
248702074,2021,"JAN",22,"Colossal Studios"
223967974,2021,"JAN",23,"Colossal Kingdom"
278557637,2021,"JAN",23,"Colossal Studios"
189566524,2021,"JAN",23,"Colossal Kingdom"
345604928,2021,"JAN",23,"Colossal Kingdom"
